Name,OPS
Craig Monroe 2001,0.639
Craig Monroe 2003,0.736
Craig Monroe 2002,0.434
Craig Monroe 2004,0.825
Craig Monroe 2005,0.768
Craig Monroe 2006,0.783
Craig Monroe 2007,0.637
Craig Monroe 2007,0.638
Craig Monroe 2008,0.679
Craig Monroe 2009,0.641
Dustan Mohr 2001,0.573
Dustan Mohr 2003,0.713
Dustan Mohr 2002,0.758
Dustan Mohr 2004,0.831
Dustan Mohr 2005,0.746
Dustan Mohr 2006,0.583
Dustan Mohr 2007,0.438
Corky Miller 2001,0.671
Corky Miller 2003,0.662
Corky Miller 2002,0.749
Corky Miller 2004,0.230
Corky Miller 2005,0.000
Corky Miller 2006,0.000
Corky Miller 2007,0.754
Corky Miller 2008,0.285
Corky Miller 2009,0.544
Corky Miller 2009,0.549
Corky Miller 2010,0.674
Corky Miller 2013,0.766
Hector Mercado 2000,0.000
Hector Mercado 2001,0.000
Hector Mercado 2003,0.000
Hector Mercado 2002,0.500
Donaldo Mendez 2001,0.418
Donaldo Mendez 2003,0.667
Adam Melhuse 2000,0.000
Adam Melhuse 2000,0.530
Adam Melhuse 2001,0.495
Adam Melhuse 2003,0.956
Adam Melhuse 2004,0.772
Adam Melhuse 2005,0.665
Adam Melhuse 2006,0.648
Adam Melhuse 2007,0.544
Adam Melhuse 2007,0.602
Adam Melhuse 2008,0.473
Adam Melhuse 2008,0.300
Keith McDonald 2000,2.270
Keith McDonald 2001,0.000
Brandon Lyon 2006,1.000
Brandon Lyon 2011,3.000
Brandon Lyon 2013,0.000
Kevin Cameron 2007,0.000
Kevin Cameron 2008,0.000
Luis Lopez 2001,0.644
Luis Lopez 2004,0.339
Felipe Lopez 2001,0.722
Felipe Lopez 2002,0.674
Felipe Lopez 2003,0.612
Felipe Lopez 2004,0.719
Felipe Lopez 2005,0.838
Felipe Lopez 2006,0.727
Felipe Lopez 2006,0.749
Felipe Lopez 2007,0.660
Felipe Lopez 2008,0.619
Felipe Lopez 2008,0.964
Felipe Lopez 2009,0.776
Felipe Lopez 2009,0.855
Felipe Lopez 2010,0.650
Felipe Lopez 2010,0.780
Felipe Lopez 2011,0.427
Felipe Lopez 2011,0.568
Cesar Izturis 2001,0.667
Cesar Izturis 2002,0.556
Cesar Izturis 2003,0.597
Cesar Izturis 2004,0.711
Cesar Izturis 2005,0.624
Cesar Izturis 2006,0.542
Cesar Izturis 2006,0.655
Cesar Izturis 2007,0.602
Cesar Izturis 2007,0.643
Cesar Izturis 2008,0.628
Cesar Izturis 2009,0.622
Cesar Izturis 2010,0.545
Cesar Izturis 2011,0.450
Cesar Izturis 2012,0.581
Cesar Izturis 2012,1.250
Cesar Izturis 2013,0.530
Chris Magruder 2001,0.398
Chris Magruder 2003,1.048
Chris Magruder 2002,0.614
